year,demand,mineral_Cobalt,mineral_Copper,mineral_Lithium,mineral_Magnet rare earth elements,mineral_Nickel,technology_Electric vehicles,technology_Electricity networks,technology_Grid battery storage,technology_Hydrogen technologies,technology_Low emissions power generation,technology_Other low emissions power generation,technology_Solar PV,technology_Wind
2024,66.5,True,False,False,False,False,True,False,False,False,False,False,False,False
2030,143.1,True,False,False,False,False,True,False,False,False,False,False,False,False
2035,142.7,True,False,False,False,False,True,False,False,False,False,False,False,False
2040,135.8,True,False,False,False,False,True,False,False,False,False,False,False,False
2024,4.1,True,False,False,False,False,False,False,True,False,False,False,False,False
2030,5.1,True,False,False,False,False,False,False,True,False,False,False,False,False
2035,3.7,True,False,False,False,False,False,False,True,False,False,False,False,False
2040,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False
2024,0.0,True,False,False,False,False,False,False,False,True,False,False,False,False
2030,0.0,True,False,False,False,False,False,False,False,True,False,False,False,False
2035,0.0,True,False,False,False,False,False,False,False,True,False,False,False,False
2040,0.0,True,False,False,False,False,False,False,False,True,False,False,False,False
2024,0.0,True,False,False,False,False,False,False,False,False,True,False,False,False
2030,0.0,True,False,False,False,False,False,False,False,False,True,False,False,False
2035,0.0,True,False,False,False,False,False,False,False,False,True,False,False,False
2040,0.0,True,False,False,False,False,False,False,False,False,True,False,False,False
2024,496.7,False,True,False,False,False,True,False,False,False,False,False,False,False
2030,1597.1,False,True,False,False,False,True,False,False,False,False,False,False,False
2035,2465.5,False,True,False,False,False,True,False,False,False,False,False,False,False
2040,2995.5,False,True,False,False,False,True,False,False,False,False,False,False,False
2024,4929.0,False,True,False,False,False,False,True,False,False,False,False,False,False
2030,5824.5,False,True,False,False,False,False,True,False,False,False,False,False,False
2035,5686.4,False,True,False,False,False,False,True,False,False,False,False,False,False
2040,5744.8,False,True,False,False,False,False,True,False,False,False,False,False,False
2024,76.3,False,True,False,False,False,False,False,True,False,False,False,False,False
2030,215.3,False,True,False,False,False,False,False,True,False,False,False,False,False
2035,294.9,False,True,False,False,False,False,False,True,False,False,False,False,False
2040,449.0,False,True,False,False,False,False,False,True,False,False,False,False,False
2024,0.0,False,True,False,False,False,False,False,False,True,False,False,False,False
2030,0.0,False,True,False,False,False,False,False,False,True,False,False,False,False
2035,0.0,False,True,False,False,False,False,False,False,True,False,False,False,False
2040,0.0,False,True,False,False,False,False,False,False,True,False,False,False,False
2024,75.7,False,True,False,False,False,False,False,False,False,False,True,False,False
2030,118.8,False,True,False,False,False,False,False,False,False,False,True,False,False
2035,81.5,False,True,False,False,False,False,False,False,False,False,True,False,False
2040,85.5,False,True,False,False,False,False,False,False,False,False,True,False,False
2024,1657.2,False,True,False,False,False,False,False,False,False,False,False,True,False
2030,2373.7,False,True,False,False,False,False,False,False,False,False,False,True,False
2035,2242.6,False,True,False,False,False,False,False,False,False,False,False,True,False
2040,2230.2,False,True,False,False,False,False,False,False,False,False,False,True,False
2024,534.2,False,True,False,False,False,False,False,False,False,False,False,False,True
2030,809.8,False,True,False,False,False,False,False,False,False,False,False,False,True
2035,769.8,False,True,False,False,False,False,False,False,False,False,False,False,True
2040,622.8,False,True,False,False,False,False,False,False,False,False,False,False,True
2024,109.0,False,False,True,False,False,True,False,False,False,False,False,False,False
2030,326.1,False,False,True,False,False,True,False,False,False,False,False,False,False
2035,537.6,False,False,True,False,False,True,False,False,False,False,False,False,False
2040,738.7,False,False,True,False,False,True,False,False,False,False,False,False,False
2024,19.0,False,False,True,False,False,False,False,True,False,False,False,False,False
2030,42.6,False,False,True,False,False,False,False,True,False,False,False,False,False
2035,51.4,False,False,True,False,False,False,False,True,False,False,False,False,False
2040,70.0,False,False,True,False,False,False,False,True,False,False,False,False,False
2024,8.4,False,False,False,True,False,True,False,False,False,False,False,False,False
2024,1259.6,False,False,False,True,False,True,False,False,False,False,False,False,False
2030,21.7,False,False,False,True,False,True,False,False,False,False,False,False,False
2030,3597.8,False,False,False,True,False,True,False,False,False,False,False,False,False
2035,30.0,False,False,False,True,False,True,False,False,False,False,False,False,False
2035,4969.9,False,False,False,True,False,True,False,False,False,False,False,False,False
2040,33.9,False,False,False,True,False,True,False,False,False,False,False,False,False
2040,4783.5,False,False,False,True,False,True,False,False,False,False,False,False,False
2024,245.6,False,False,False,True,False,False,False,True,False,False,False,False,False
2030,516.2,False,False,False,True,False,False,False,True,False,False,False,False,False
2035,664.1,False,False,False,True,False,False,False,True,False,False,False,False,False
2040,917.0,False,False,False,True,False,False,False,True,False,False,False,False,False
2024,10.5,False,False,False,True,False,False,False,False,False,False,False,False,True
2030,16.2,False,False,False,True,False,False,False,False,False,False,False,False,True
2035,16.1,False,False,False,True,False,False,False,False,False,False,False,False,True
2040,12.7,False,False,False,True,False,False,False,False,False,False,False,False,True
2024,321.1,False,False,False,False,True,True,False,False,False,False,False,False,False
2030,959.1,False,False,False,False,True,True,False,False,False,False,False,False,False
2035,1558.8,False,False,False,False,True,True,False,False,False,False,False,False,False
2040,1843.3,False,False,False,False,True,True,False,False,False,False,False,False,False
2024,17.0,False,False,False,False,True,False,False,True,False,False,False,False,False
2030,68.0,False,False,False,False,True,False,False,True,False,False,False,False,False
